stop_id,stop_name,stop_lat,stop_lon
0177,GRANBY & WHITING,36.90059,-76.27893
0178,GRANBY & KINGSLEY,36.89791,-76.27989
0179,GRANBY & BELVEDERE,36.89532,-76.27948
0180,GRANBY & ARDEN,36.89289,-76.27905
0181,GRANBY & WILLOW WOOD,36.89063,-76.27918
0182,GRANBY & 42ND,36.88557,-76.28146
0183,GRANBY & 37TH,36.88007,-76.28224
0184,GRANBY & 35TH,36.87864,-76.28224
0185,GRANBY & 33RD,36.87684,-76.28195
0186,GRANBY & MONTICELLO,36.87379,-76.28131
0187,MONTICELLO & 29TH,36.87286,-76.28161
0188,MONTICELLO & 25TH,36.87023,-76.28279
0189,MONTICELLO & 19TH,36.86613,-76.28458
0190,MONTICELLO & 18TH,36.86474,-76.28516
0191,MONTICELLO & 15TH,36.86243,-76.28612
0192,MONTICELLO & PRINCESS ANNE,36.86046,-76.28691
0194,MONTICELLO & VIRGINIA BEACH,36.85763,-76.28681
0195,MONTICELLO & STARKE,36.85512,-76.28706
0197,WOODLAKE & OLD GREENBRIAR,36.79050,-76.23528
0198,OLD GREENBRIAR & JUNIPER,36.79377,-76.23456
0199,OLD GREENBRIAR & JUNIPER,36.79414,-76.23447
0203,OLNEY & COLONIAL,36.85887,-76.29642
0204,OLNEY & STOCKLEY GARDENS,36.85982,-76.29850
0205,OLNEY & NORFOLK GENERAL,36.86162,-76.30249
0208,HAMPTON & GRAYDON,36.86595,-76.30107
0209,HAMPTON & PRINCESS ANNE,36.86664,-76.30045
0211,HAMPTON & SPOTSWOOD,36.86903,-76.30066
0212,HAMPTON & GATES,36.87039,-76.30098
0213,HAMPTON & 25TH,36.87547,-76.30182
0214,HAMPTON & 27TH,36.87708,-76.30192
0215,HAMPTON & 35TH,36.87786,-76.30196
0216,HAMPTON & 37TH,36.87886,-76.30202
0217,HAMPTON & 39TH,36.88091,-76.30212
0219,HAMPTON & 45TH,36.88435,-76.30232
0220,HAMPTON & 46TH,36.88586,-76.30242
0221,HAMPTON & 48TH,36.88723,-76.30252
0222,HAMPTON & BOLLING,36.89120,-76.30390
0223,HAMPTON & ROCKBRIDGE,36.89441,-76.30325
0224,HAMPTON & MAGNOLIA,36.89547,-76.30293
0225,HAMPTON & SURRY,36.89681,-76.30285
0226,HAMPTON & BEDFORD,36.89970,-76.30312
0227,HAMPTON & ESCADRILLE,36.90195,-76.30381
0228,HAMPTON & HELENA,36.91013,-76.30561
0229,HAMPTON & LITTLE CREEK,36.91550,-76.30777
0230,HAMPTON & DANIEL,36.91651,-76.30881
0231,HAMPTON & STAFF COLLEGE,36.91992,-76.31244
0232,HAMPTON & PORTER,36.92196,-76.31465
0233,HAMPTON & BAKER,36.92341,-76.31601
0234,HAMPTON & FORREST,36.92803,-76.31752
0235,HAMPTON & BEECHWOOD,36.92947,-76.31765
0239,HAMMOND & ADMIRAL TAUSSIG,36.94333,-76.31205
0240,HAMPTON & B,36.93646,-76.31854
0241,HAMPTON & D,36.93365,-76.31831
0242,HAMPTON & GREENBRIER,36.93256,-76.31822
0243,HAMPTON & MAPLESHADE,36.93077,-76.31806
0244,HAMPTON & BEECHWOOD,36.92927,-76.31792
0245,HAMPTON & GLENDALE,36.92764,-76.31777
0246,HAMPTON & HELMICK,36.92587,-76.31750
0247,HAMPTON & NORTH,36.92355,-76.31645
0248,HAMPTON & BAKER,36.92303,-76.31605
0249,HAMPTON & LEUTZE,36.92110,-76.31413
0250,HAMPTON & STAFF COLLEGE,36.91917,-76.31201
0251,HAMPTON & TERMINAL,36.91816,-76.31094
0252,HAMPTON & LITTLE CREEK,36.91574,-76.30832
0253,HAMPTON & RUNNYMEDE,36.91410,-76.30698
0254,HAMPTON & NORTH SHORE,36.91087,-76.30597
0255,HAMPTON & HELENA,36.90978,-76.30587
0256,HAMPTON & LEXAN,36.90052,-76.30368
0257,HAMPTON & MANCHESTER,36.89910,-76.30322
0258,HAMPTON & SURREY,36.89650,-76.30307
0259,HAMPTON & ROCKBRIDGE,36.89458,-76.30343
0260,HAMPTON & BRUNSWICK,36.89223,-76.30412
0261,HAMPTON & BOLLING,36.89078,-76.30390
0262,HAMPTON & 49TH,36.88712,-76.30277
0263,HAMPTON & 47TH,36.88634,-76.30270
0264,HAMPTON & 45TH,36.88492,-76.30262
0265,HAMPTON & 43RD,36.88285,-76.30252
0266,HAMPTON & 40TH,36.88151,-76.30239
0267,HAMPTON & 25TH,36.87568,-76.30201
0268,HAMPTON & WOODROW,36.87145,-76.30137
0269,HAMPTON & MAURY,36.86736,-76.30049
0272,REDGATE & COLLEY,36.86400,-76.30138
0275,OLNEY & MOWBRAY ARCH 1,36.85948,-76.29803
0276,OLNEY & MOWBRAY ARCH 2,36.85737,-76.29336
0281,HAMPTON & SPOTSWOOD,36.86918,-76.30085
0282,ELSON GREEN & UPTON,36.75651,-76.00828
0283,NIMMO & UPTON,36.76220,-76.00834
0284,FIRST VIEW & BALVIEW,36.95429,-76.25551
0285,26TH & FAWN,36.87015,-76.27904
0286,26TH & GAZEL,36.87036,-76.27774
0288,26TH & RUFFIN,36.87142,-76.27577
0289,26TH & VILLA,36.87277,-76.27354
0290,LAFAYETTE & DUPONT 1,36.87420,-76.27115
0291,LAFAYETTE & DUPONT 2,36.87494,-76.26969
0292,LAFAYETTE & BELLEVUE (midblk before Lorraine),36.87774,-76.26710
0293,LAFAYETTE & LORRAINE,36.87808,-76.26550
0294,LAFAYETTE & TIDEWATER,36.87766,-76.26373
0295,LAFAYETTE & SOMME,36.87733,-76.26235
0296,LAFAYETTE & DUNKIRK,36.87712,-76.26145
0297,LAFAYETTE & SAINT MIHIEL,36.87642,-76.25870
0298,LAFAYETTE & MARNE,36.87556,-76.25510
0300,CHESAPEAKE & CROMWELL 1,36.87581,-76.25229
0301,CHESAPEAKE & CROMWELL 2,36.87649,-76.25161
0302,CHESAPEAKE & ROBINHOOD,36.87851,-76.24959
0303,CHESAPEAKE & CURIE,36.89758,-76.23858
0304,CHESAPEAKE & BUCKINGHAM,36.88126,-76.24731
0305,CHESAPEAKE & MONTGOMERY,36.88262,-76.24666
0306,CHESAPEAKE & WAYNE,36.88466,-76.24512
0307,CHESAPEAKE & ESSEX,36.88764,-76.24181
0308,CHESAPEAKE & HYDE,36.88854,-76.24047
0309,CHESAPEAKE & NORVIEW,36.88936,-76.23909
0310,CHESAPEAKE & GREEN,36.89149,-76.23763
0311,CHESAPEAKE & STRAND,36.89380,-76.23799
0312,CHESAPEAKE & DUNDALE,36.89977,-76.23896
0313,CHESAPEAKE & I-64,36.90524,-76.23980
0314,CHESAPEAKE & AVENUE E,36.90882,-76.24038
0315,CHESAPEAKE & ROSEFIELD,36.91124,-76.24081
0316,CHESAPEAKE & AVE I,36.91226,-76.24098
0317,EVELYN BUTTS & AVENUE J,36.91418,-76.24352
0318,CHESAPEAKE & LITTLE CREEK,36.91511,-76.24141
0319,CHESAPEAKE & ELK,36.91778,-76.24182
0320,CHESAPEAKE & BURKSDALE,36.92026,-76.24221
0321,CHESAPEAKE & WINSTON,36.92194,-76.24246
0322,CHESAPEAKE & SHEPPARD,36.92379,-76.24275
0323,CHESAPEAKE & FRANK,36.92640,-76.24315
0324,CHESAPEAKE & FISHERMANS,36.93026,-76.24376
0326,CHESAPEAKE & BAYVIEW,36.93374,-76.24431
0327,CHESAPEAKE & EARL,36.93562,-76.24459
0328,CHESAPEAKE & DUNE,36.93691,-76.24479
0330,CHESAPEAKE & CHESTER,36.93930,-76.24516
0331,CHESAPEAKE & WARWICK,36.94054,-76.24534
0332,CHESAPEAKE & DUDLEY,36.94300,-76.24568
0335,CHESAPEAKE & BUCKINGHAM,36.88121,-76.24766
0336,HAMPTON & RUNNYMEDE,36.91400,-76.30663
0343,CHESAPEAKE & LEICESTER,36.94192,-76.24584
0344,CHESAPEAKE & FARRELL,36.93897,-76.24535
0345,CHESAPEAKE & DUNE,36.93682,-76.24507
0346,CHESAPEAKE & EARL,36.93574,-76.24489
0347,CHESAPEAKE & BAYVIEW,36.93405,-76.24461
0348,CHESAPEAKE & FISHERMANS (mdblk bet Bayview & Fish),36.93167,-76.24426
0349,CHESAPEAKE & SHEPPARD,36.92397,-76.24307
0351,CHESAPEAKE & BURKSDALE (far),36.91966,-76.24241
0352,CHESAPEAKE & DOVERCOURT,36.91681,-76.24195
0353,CHESAPEAKE & LITTLE CREEK,36.91502,-76.24166
0354,EVELYN BUTTS & AVENUE J,36.91417,-76.24363
0355,CHESAPEAKE & AVE I,36.91267,-76.24129
0357,CHESAPEAKE & JOHNSTONS,36.90759,-76.24042
0359,CHESAPEAKE & KITRELL,36.90519,-76.24005
0360,CHESAPEAKE & DUNDALE (NHS),36.89974,-76.23921
0362,CHESAPEAKE & PICADILLY (NES),36.89680,-76.23871
0363,CHESAPEAKE & STRAND,36.89409,-76.23828
0364,CHESAPEAKE & GREEN,36.89166,-76.23790
0365,CHESAPEAKE & NORVIEW (5 pts),36.88951,-76.23927
0366,CHESAPEAKE & HYDE,36.88889,-76.24025
0367,CHESAPEAKE & CRAVEN,36.88801,-76.24158
0368,CHESAPEAKE & NANSEMOND,36.88552,-76.24460
0369,CHESAPEAKE & WAYNE,36.88493,-76.24513
0370,CHESAPEAKE & NORLAND,36.88311,-76.24665
0371,CHESAPEAKE & NOTTAWAY,36.87995,-76.24853
0372,CHESAPEAKE & ROBIN HOOD,36.87877,-76.24968
0373,CHESAPEAKE & CROMWELL (before RR),36.87679,-76.25161
0374,CHESAPEAKE & FLANDERS,36.87556,-76.25302
0375,LAFAYETTE & MARNE,36.87563,-76.25484
0376,LAFAYETTE & LENS,36.87604,-76.25656
0377,LAFAYETTE & BREST,36.87649,-76.25840
0378,LAFAYETTE & DUNKIRK,36.87721,-76.26127
0379,LAFAYETTE & SOMME,36.87753,-76.26251
0380,LAFAYETTE & TIDEWATER,36.87784,-76.26389
0381,LAFAYETTE & RACINE,36.87816,-76.26510
0382,LAFAYETTE & VERSAILLES,36.87752,-76.26741
0383,LAFAYETTE & DEGRASSE,36.87629,-76.26790
0384,LAFAYETTE & ORLEANS,36.87516,-76.26960
0385,LAFAYETTE & ORLEANS 2,36.87442,-76.27103
0386,26TH & LEO,36.87081,-76.27657
0387,27TH & LEO,36.87151,-76.27649
0388,27TH & GAZEL,36.87136,-76.27763
0389,27TH & FAWN,36.87114,-76.27885
0390,MONTICELLO & 26TH,36.87087,-76.28236
0399,MAIN & COMMERCIAL,36.84557,-76.28922
0400,MAIN & SAINT PAULS,36.84552,-76.28730
0401,MAIN & SAINT PAULS,36.84561,-76.28721
0403,GOFF & TIDEWATER,36.85849,-76.27294
0404,SAINT PAULS & WOOD,36.85135,-76.28505
0406,CHURCH & OLNEY,36.85400,-76.27973
0407,CHURCH & VIRGINIA BEACH,36.85600,-76.27928
0408,CHAPEL & PRINCESS ANNE,36.85676,-76.27520
0409,TIDEWATER & PRINCESS ANNE,36.85713,-76.27318
0410,GOFF & OKEEFE,36.85958,-76.27601
0411,CHURCH & LEXINGTON,36.86191,-76.27838
0412,CHURCH & B,36.86383,-76.27873
0413,20TH & GRANBY,36.86671,-76.28518
0414,21ST & OMOHUNDRO,36.86809,-76.28716
0415,21ST & LLEWELLYN,36.86848,-76.28865
0416,21ST & DEBREE,36.86878,-76.29035
0417,21ST & MANTEO,36.87006,-76.29417
0418,21ST & CORE,36.87166,-76.29786
0419,21ST & HAMPTON,36.87301,-76.30068
0420,38TH & BOWDENS FERRY,36.87967,-76.30375
0421,38TH & BLUESTONE,36.87962,-76.30528
0423,BOLLING & MONROE,36.89130,-76.30192
0424,COLLEY & 50TH,36.88877,-76.29523
0425,COLLEY & 41ST,36.88233,-76.29490
0426,COLLEY & 39TH,36.88091,-76.29483
0427,COLLEY & 35TH,36.87795,-76.29489
0428,COLLEY & 27TH,36.87527,-76.29520
0429,COLLEY & 25TH,36.87401,-76.29546
0430,COLLEY & GRAYDON,36.86527,-76.29956
0431,COLLEY & RALEIGH,36.86224,-76.30001
0432,COLLEY & RALEIGH,36.86211,-76.29974
0433,COLLEY & GRAYDON,36.86506,-76.29954
0434,COLLEY & SHIRLEY,36.86775,-76.29798
0435,COLLEY & 25TH,36.87375,-76.29519
0436,COLLEY & 27TH,36.87483,-76.29495
0437,COLLEY & 35TH,36.87818,-76.29476
0438,COLLEY & 44TH,36.88460,-76.29490
0439,COLLEY & 52ND,36.88968,-76.29516
0440,ELKHORN & 43RD,36.88454,-76.30817
0441,38TH & BOWDENS FERRY,36.87954,-76.30482
0442,21ST & COLLEY,36.87103,-76.29649
0443,21ST & COLONIAL,36.86938,-76.29289
0444,21ST & DEBREE,36.86862,-76.28996
0445,21ST & LLEWELLYN,36.86808,-76.28747
0447,20TH & MONTICELLO,36.86656,-76.28499
0448,CHURCH & 18TH,36.86398,-76.27902
0449,GOFF & MIDRISE,36.85888,-76.27381
0450,CHAPEL & PRINCESS ANNE,36.85679,-76.27531
0451,CHURCH & NICHOLSON,36.85538,-76.27969
0452,CHURCH & OLNEY,36.85397,-76.28001
0453,INDIAN RIVER & WINGFIELD,36.82721,-76.24623
0454,WOOD & POSEY,36.85164,-76.28324
0455,BRAMBLETON & SAINT PAULS,36.85382,-76.28504
0456,POWHATAN/48TH,36.88614,-76.31262
0458,ELKHORN & 43RD ST,36.88322,-76.30665
0460,STATE & CLIFTON,36.83428,-76.28494
0461,STATE & INDIAN RIVER,36.83600,-76.28581
0462,MAIN & INDIAN RIVER,36.83488,-76.28233
0463,MAIN & POPLAR,36.83419,-76.28265
0464,MAIN & BERKLEY,36.83290,-76.28321
0465,MAIN & LIBERTY,36.83225,-76.28351
0466,LIBERTY & FAUQUIER,36.83065,-76.28232
0467,LIBERTY & GRAYSON,36.82988,-76.28157
0468,LIBERTY & LANCASTER,36.82891,-76.28061
0469,LIBERTY & SHERMAN,36.82634,-76.27811
0470,LIBERTY & HALIFAX,36.82544,-76.27745
0471,LIBERTY & 20TH,36.82262,-76.27480
0472,20TH & SEABOARD,36.82217,-76.27241
0473,SEABOARD & LIBERTY,36.81996,-76.27129
0474,LIBERTY & HOOVER,36.81819,-76.26862
0475,OLD ATLANTIC & JEFFERSON,36.81493,-76.26548
0476,ATLANTIC & CULPEPPER,36.81169,-76.26487
0477,ATLANTIC & MYERS,36.80736,-76.26402
0478,ATLANTIC & STRAWBERRY,36.80463,-76.26347
0479,BROAD & CAMPOSTELLA,36.79918,-76.25815
0480,CAMPOSTELLA & HEMPLE,36.79459,-76.25939
0481,CAMPOSTELLA & MARK,36.79258,-76.26000
0482,CAMPOSTELLA & PORTLOCK,36.78517,-76.26655
0483,CAMPOSTELLA & CORAL,36.78187,-76.26825
0485,MILITARY & CAMPOSTELLA,36.77861,-76.26652
0488,ROBERT HALL & MILITARY,36.78646,-76.25598
0489,ROBERT HALL & BATTLEFIELD,36.78735,-76.25779
0490,MILITARY & BATTLEFIELD,36.78147,-76.26189
0491,MILITARY & CAMPOSTELLA,36.77887,-76.26648
0492,CAMPOSTELLA & WAKE,36.77997,-76.26818
0493,CAMPOSTELLA & PORTLOCK,36.78530,-76.26635
0494,CAMPOSTELLA & DIAMOND HILL,36.78861,-76.26361
0495,CAMPOSTELLA & HEMPLE,36.79439,-76.25935
0496,CAMPOSTELLA & PROVIDENCE,36.79856,-76.25746
0497,BROAD & CAMPOSTELLA,36.79941,-76.25935
0498,ATLANTIC & STRAWBERRY,36.80485,-76.26330
0499,ATLANTIC & MYERS,36.80755,-76.26385
0500,ATLANTIC & POCAHONTAS,36.80951,-76.26423
0501,ATLANTIC & CULPEPPER,36.81153,-76.26464
0502,ATLANTIC & JEFFERSON,36.81576,-76.26553
0503,LIBERTY & FITCHETT,36.81771,-76.26706
0504,LIBERTY & COMMERCE,36.81882,-76.26975
0505,LIBERTY & POINDEXTER,36.81996,-76.27185
0506,LIBERTY & 20TH,36.82254,-76.27457
0507,LIBERTY & SEABOARD,36.82412,-76.27615
0508,LIBERTY & SHERMAN,36.82589,-76.27765
0509,LIBERTY & CRAIG,36.82745,-76.27898
0510,LIBERTY & GRAYSON,36.82994,-76.28148
0511,MAIN & BERKLEY,36.83229,-76.28337
0513,MAIN & INDIAN RIVER,36.83536,-76.28201
0514,INDIAN RIVER & STATE,36.83614,-76.28583
0515,STATE & CLIFTON,36.83466,-76.28527
0520,TIDEWATER & BRAMBLETON,36.85148,-76.27571
0521,TIDEWATER & OLNEY,36.85268,-76.27517
0524,TIDEWATER & GOFF,36.85872,-76.27246
0527,TIDEWATER & VISTA,36.86782,-76.26830
0528,TIDEWATER & HANCOCK,36.87077,-76.26608
0529,TIDEWATER & SHOOP,36.87203,-76.26557
0530,TIDEWATER & SAINT DENIS,36.87469,-76.26460
0532,TIDEWATER & BELLEVUE,36.87613,-76.26408
0534,TIDEWATER & PERSHING,36.87984,-76.26265
0535,TIDEWATER & ALSACE,36.88353,-76.26120
0536,TIDEWATER & BAPAUME,36.88523,-76.26057
0537,TIDEWATER & WILLOW WOOD,36.88780,-76.25967
0538,TIDEWATER & NORVIEW,36.89085,-76.25851
0539,TIDEWATER & WIDGEON,36.90151,-76.25638
0540,TIDEWATER & LITTLE CREEK,36.91271,-76.25506
0541,LITTLE CREEK & HAROLD,36.91572,-76.25255
0542,LITTLE CREEK & SEWELLS POINT,36.91523,-76.25001
0543,LITTLE CREEK & MERRITT,36.91490,-76.24617
0546,LITTLE CREEK & MOOSE,36.91568,-76.23646
0547,LITTLE CREEK & BUFFALO,36.91633,-76.23377
0548,LITTLE CREEK & BISON,36.91676,-76.23154
0549,LITTLE CREEK & MEADOW CREEK,36.91679,-76.22999
0550,LITTLE CREEK & LISA,36.91650,-76.22773
0551,LITTLE CREEK & WEDGEWOOD 1,36.91613,-76.22614
0552,LITTLE CREEK & WEDGEWOOD 2,36.91565,-76.22416
0553,LITTLE CREEK & WILDWOOD,36.91547,-76.22345
0554,LITTLE CREEK & HALPRIN,36.91506,-76.22004
0555,LITTLE CREEK & BROOKFIELD,36.91508,-76.21375
0556,LITTLE CREEK &  AZALEA GARDEN,36.91542,-76.21127
0557,LITTLE CREEK & NANCY,36.91637,-76.20636
0558,LITTLE CREEK & WALTERS,36.91704,-76.20285
0559,LITTLE CREEK & REDMON,36.91769,-76.19926
0560,LITTLE CREEK & WOODALL,36.91788,-76.19759
0561,LITTLE CREEK & SHORE,36.91795,-76.19509
0565,LITTLE CREEK & SHORE,36.91813,-76.19484
0566,LITTLE CREEK & WOODALL,36.91803,-76.19801
0567,LITTLE CREEK & WALTERS,36.91718,-76.20321
0568,LITTLE CREEK & NANCY,36.91648,-76.20685
0569,LITTLE CREEK & TARPON,36.91595,-76.20969
0570,LITTLE CREEK & AZALEA GARDEN,36.91542,-76.21230
0571,LITTLE CREEK & MONA,36.91524,-76.21546
0572,LITTLE CREEK & HALPRIN 1,36.91523,-76.21899
0573,LITTLE CREEK & WILDWOOD,36.91548,-76.22258
0574,LITTLE CREEK & WEDGEWOOD PLAZA,36.91625,-76.22587
0576,LITTLE CREEK & MEADOW CREEK,36.91695,-76.22960
0577,LITTLE CREEK & BISON,36.91683,-76.23172
0579,LITTLE CREEK & MOOSE,36.91582,-76.23628
0580,LITTLE CREEK & PYTHIAN,36.91524,-76.23855
