route_id,service_id,trip_id,direction_id,block_id
800,MR,33017,0,800W-  1
800,MR,33018,0,800W-  3
800,MR,33019,0,800W-  6
800,MR,33020,0,800W-  2
800,MR,33021,0,800W-  4
800,MR,33022,0,800W-  5
800,MR,33023,0,800W-  1
800,MR,33024,0,800W-  3
800,MR,33025,0,800W-  2
800,MR,33026,0,800W-  4
800,MR,33027,0,800W-  5
800,MR,33028,0,800W-  1
800,MR,33029,0,800W-  3
800,MR,33030,0,800W-  2
800,MR,33031,0,800W-  4
800,MR,33032,0,800W-  5
800,MR,33033,0,800W-  1
800,MR,33034,0,800W-  3
800,MR,33035,0,800W-  2
800,MR,33036,0,800W-  4
800,MR,33037,0,800W-  5
800,MR,33038,0,800W-  1
800,MR,33039,0,800W-  3
800,MR,33040,0,800W-  2
800,MR,33041,0,800W-  4
800,MR,33042,0,800W-  5
800,MR,33043,0,800W-  1
800,MR,33044,0,800W-  3
800,MR,33045,0,800W-  2
800,MR,33046,0,800W-  4
800,MR,33047,0,800W-  5
800,MR,33048,0,800W-  7
800,MR,33049,0,800W-  1
800,MR,33050,0,800W-  3
800,MR,33051,0,800W-  2
800,MR,33052,0,800W-  4
800,MR,33053,0,800W-  5
800,MR,33054,0,800W-  7
800,MR,33055,0,800W-  1
800,MR,33056,0,800W-  3
800,MR,33057,0,800W-  2
800,MR,33058,0,800W-  4
800,MR,33059,0,800W-  5
800,MR,33060,0,800W-  7
800,MR,33061,0,800W-  1
800,MR,33062,0,800W-  3
800,MR,33063,0,800W-  2
800,MR,33064,0,800W-  4
800,MR,33065,0,800W-  5
800,MR,33066,0,800W-  7
800,MR,33067,0,800W-  1
800,MR,33068,0,800W-  3
800,MR,33069,0,800W-  2
800,MR,33070,0,800W-  5
800,MR,33071,0,800W-  7
800,MR,33072,0,800W-  3
800,MR,33073,0,800W-  2
800,MR,33074,0,800W-  5
800,MR,33075,0,800W-  7
800,MR,33076,0,800W-  3
800,MR,33077,0,800W-  2
800,MR,33078,0,800W-  5
800,MR,33079,0,800W-  3
800,MR,33080,0,800W-  5
800,MR,33081,0,800W-  3
800,MR,33082,1,800W-  2
800,MR,33083,1,800W-  4
800,MR,33084,1,800W-  5
800,MR,33085,1,800W-  1
800,MR,33086,1,800W-  3
800,MR,33087,1,800W-  6
800,MR,33088,1,800W-  2
800,MR,33089,1,800W-  4
800,MR,33090,1,800W-  5
800,MR,33091,1,800W-  1
800,MR,33092,1,800W-  3
800,MR,33093,1,800W-  6
800,MR,33094,1,800W-  2
800,MR,33095,1,800W-  4
800,MR,33096,1,800W-  5
800,MR,33097,1,800W-  1
800,MR,33098,1,800W-  3
800,MR,33099,1,800W-  6
800,MR,33100,1,800W-  2
800,MR,33101,1,800W-  4
800,MR,33102,1,800W-  5
800,MR,33103,1,800W-  1
800,MR,33104,1,800W-  3
800,MR,33105,1,800W-  2
800,MR,33106,1,800W-  4
800,MR,33107,1,800W-  5
800,MR,33108,1,800W-  1
800,MR,33109,1,800W-  3
800,MR,33110,1,800W-  2
800,MR,33111,1,800W-  4
800,MR,33112,1,800W-  5
800,MR,33113,1,800W-  1
800,MR,33114,1,800W-  3
800,MR,33115,1,800W-  2
800,MR,33116,1,800W-  4
800,MR,33117,1,800W-  5
800,MR,33118,1,800W-  1
800,MR,33119,1,800W-  3
800,MR,33120,1,800W-  2
800,MR,33121,1,800W-  4
800,MR,33122,1,800W-  5
800,MR,33123,1,800W-  1
800,MR,33124,1,800W-  3
800,MR,33125,1,800W-  2
800,MR,33126,1,800W-  4
800,MR,33127,1,800W-  5
800,MR,33128,1,800W-  7
800,MR,33129,1,800W-  1
800,MR,33130,1,800W-  3
800,MR,33131,1,800W-  2
800,MR,33132,1,800W-  4
800,MR,33133,1,800W-  5
800,MR,33134,1,800W-  7
800,MR,33135,1,800W-  1
800,MR,33136,1,800W-  3
800,MR,33137,1,800W-  2
800,MR,33138,1,800W-  4
800,MR,33139,1,800W-  5
800,MR,33140,1,800W-  7
800,MR,33141,1,800W-  1
800,MR,33142,1,800W-  3
800,MR,33143,1,800W-  2
800,MR,33144,1,800W-  4
800,MR,33145,1,800W-  5
800,MR,33146,1,800W-  7
800,MR,33147,1,800W-  1
800,MR,33148,1,800W-  3
800,MR,33149,1,800W-  2
800,MR,33150,1,800W-  5
800,MR,33151,1,800W-  7
800,MR,33152,1,800W-  3
800,MR,33153,1,800W-  2
800,MR,33154,1,800W-  5
800,MR,33155,1,800W-  7
800,MR,33156,1,800W-  3
800,MR,33157,1,800W-  2
800,MR,33158,1,800W-  5
800,MR,33159,1,800W-  3
800,MR,33160,1,800W-  5
800,MR,33161,1,800W-  3
800,MR,33162,1,800W-  5
800,MR,33170,1,800W-  1
800,MR,33171,0,800W-  2
800,MR,33172,1,800W-  3
800,MR,33173,0,800W-  4
800,MR,33174,0,800W-  5
800,MR,33175,0,800W-  6
800,MR,33177,0,800W-  7
800,FR,33400,0,800F-  1
800,FR,33401,0,800F-  3
800,FR,33402,0,800F-  2
800,FR,33403,0,800F-  4
800,FR,33404,0,800F-  5
800,FR,33405,0,800F-  1
800,FR,33406,0,800F-  3
800,FR,33407,0,800F-  6
800,FR,33408,0,800F-  2
800,FR,33409,0,800F-  4
800,FR,33410,0,800F-  5
800,FR,33411,0,800F-  1
800,FR,33412,0,800F-  3
800,FR,33413,0,800F-  6
800,FR,33414,0,800F-  2
800,FR,33415,0,800F-  4
800,FR,33416,0,800F-  5
800,FR,33417,0,800F-  1
800,FR,33418,0,800F-  3
800,FR,33419,0,800F-  6
800,FR,33420,0,800F-  2
800,FR,33421,0,800F-  4
800,FR,33422,0,800F-  5
800,FR,33423,0,800F-  1
800,FR,33424,0,800F-  3
800,FR,33425,0,800F-  2
800,FR,33426,0,800F-  4
800,FR,33427,0,800F-  5
800,FR,33428,0,800F-  1
800,FR,33429,0,800F-  3
800,FR,33430,0,800F-  2
800,FR,33431,0,800F-  4
800,FR,33432,0,800F-  5
800,FR,33433,0,800F-  1
800,FR,33434,0,800F-  3
800,FR,33435,0,800F-  2
800,FR,33436,0,800F-  4
800,FR,33437,0,800F-  5
800,FR,33438,0,800F-  1
800,FR,33439,0,800F-  3
800,FR,33440,0,800F-  2
800,FR,33441,0,800F-  4
800,FR,33442,0,800F-  5
800,FR,33443,0,800F-  1
800,FR,33444,0,800F-  3
800,FR,33445,0,800F-  2
800,FR,33446,0,800F-  4
800,FR,33447,0,800F-  5
800,FR,33448,0,800F-  7
800,FR,33449,0,800F-  1
800,FR,33450,0,800F-  3
800,FR,33451,0,800F-  2
800,FR,33452,0,800F-  4
800,FR,33453,0,800F-  5
800,FR,33454,0,800F-  7
800,FR,33455,0,800F-  1
800,FR,33456,0,800F-  3
800,FR,33457,0,800F-  2
800,FR,33458,0,800F-  4
800,FR,33459,0,800F-  5
800,FR,33460,0,800F-  7
800,FR,33461,0,800F-  1
800,FR,33462,0,800F-  3
800,FR,33463,0,800F-  2
800,FR,33464,0,800F-  4
800,FR,33465,0,800F-  5
800,FR,33466,0,800F-  7
800,FR,33467,0,800F-  1
800,FR,33468,0,800F-  3
800,FR,33469,0,800F-  2
800,FR,33470,0,800F-  5
800,FR,33471,0,800F-  7
800,FR,33472,0,800F-  3
800,FR,33473,0,800F-  2
800,FR,33474,0,800F-  5
800,FR,33475,0,800F-  7
800,FR,33476,0,800F-  3
800,FR,33477,0,800F-  2
800,FR,33478,0,800F-  5
800,FR,33479,0,800F-  3
800,FR,33480,0,800F-  5
800,FR,33481,0,800F-  3
800,FR,33482,0,800F-  5
800,FR,33483,0,800F-  3
800,FR,33484,1,800F-  2
800,FR,33485,1,800F-  4
800,FR,33486,1,800F-  5
800,FR,33487,1,800F-  1
800,FR,33488,1,800F-  3
800,FR,33489,1,800F-  6
800,FR,33490,1,800F-  2
800,FR,33491,1,800F-  4
800,FR,33492,1,800F-  5
800,FR,33493,1,800F-  1
800,FR,33494,1,800F-  3
800,FR,33495,1,800F-  6
800,FR,33496,1,800F-  2
800,FR,33497,1,800F-  4
800,FR,33498,1,800F-  5
800,FR,33499,1,800F-  1
800,FR,33500,1,800F-  3
800,FR,33501,1,800F-  6
800,FR,33502,1,800F-  2
800,FR,33503,1,800F-  4
800,FR,33504,1,800F-  5
800,FR,33505,1,800F-  1
800,FR,33506,1,800F-  3
800,FR,33507,1,800F-  2
800,FR,33508,1,800F-  4
800,FR,33509,1,800F-  5
800,FR,33510,1,800F-  1
800,FR,33511,1,800F-  3
800,FR,33512,1,800F-  2
800,FR,33513,1,800F-  4
800,FR,33514,1,800F-  5
800,FR,33515,1,800F-  1
800,FR,33516,1,800F-  3
800,FR,33517,1,800F-  2
800,FR,33518,1,800F-  4
800,FR,33519,1,800F-  5
800,FR,33520,1,800F-  1
800,FR,33521,1,800F-  3
800,FR,33522,1,800F-  2
